"","WRIA.Number","RKTtau_Overall.Score","RKTtau_Tot_Richness_Score","RKTtau_E_Richness_Score","RKTtau_P_Richness_Score","RKTtau_T_Richness_Score","RKTtau_Cling_Richness_Score","RKTtau_LL_Richness_Score","RKTtau_Intol_Richness_Score","RKTtau_Dom_Percent_Score","RKTtau_Pred_Percent_Score","RKTtau_Tol_Percent_Score","RKTpval_Overall.Score","RKTpval_Tot_Richness_Score","RKTpval_E_Richness_Score","RKTpval_P_Richness_Score","RKTpval_T_Richness_Score","RKTpval_Cling_Richness_Score","RKTpval_LL_Richness_Score","RKTpval_Intol_Richness_Score","RKTpval_Dom_Percent_Score","RKTpval_Pred_Percent_Score","RKTpval_Tol_Percent_Score","RKTtrend_Overall.Score","RKTtrend_Tot_Richness_Score","RKTtrend_E_Richness_Score","RKTtrend_P_Richness_Score","RKTtrend_T_Richness_Score","RKTtrend_Cling_Richness_Score","RKTtrend_LL_Richness_Score","RKTtrend_Intol_Richness_Score","RKTtrend_Dom_Percent_Score","RKTtrend_Pred_Percent_Score","RKTtrend_Tol_Percent_Score"
"1",1,-0.234782608695652,-0.0260869565217391,-0.0260869565217391,-0.0521739130434783,0.0956521739130435,0.0956521739130435,-0.0347826086956522,-0.121739130434783,0.243478260869565,-0.226086956521739,-0.173913043478261,0.0541686151911489,0.867174601424439,0.830854588073023,0.645310009345722,0.335176871755023,0.309940845504457,0.768624792202147,0.130732585772899,0.0215394524292967,0.0570994734440038,0.131457310662029,"none","none","none","none","none","none","none","none","positive","none","none"
"119",7,0.0200445434298441,0.0200445434298441,0.0675575352635486,0.0371195248700817,0.0423162583518931,-0.0386043058648849,-0.00965107646622123,0.0326651818856719,0.0252412769116555,0.0200445434298441,-0.0267260579064588,0.638799973794268,0.616313307338019,0.0488305423528097,0.3126640737273,0.27778105063367,0.296581988293536,0.808735085283518,0.337821357582684,0.513049847685471,0.630740113349392,0.520209039977362,"none","none","positive","none","none","none","none","none","none","none","none"
"717",8,0.197006383447061,0.195905789126128,-0.0095384841147553,0.137867781935579,0.132071318511996,0.168977914740627,0.180717587497249,0.0548095971824785,0.155183799251596,0.107784870496735,-0.0647883190256072,0,0,0.512942101016916,0,0,0,0,2.34945538628573e-05,0,7.55713269739999e-11,0.000102770782486328,"positive","positive","none","positive","positive","positive","positive","positive","positive","positive","negative"
"3646",9,0.142198815009875,0.1963133640553,-0.0155365371955234,0.135747202106649,0.0950625411454905,0.142725477287689,0.128768926925609,0.0758393680052666,0.0979591836734694,0.0675444371296906,-0.0393680052666228,1.26003185663137e-09,0,0.470979255429077,3.90144361261946e-10,1.43154110450183e-05,1.31291200133887e-10,5.65094149251877e-09,0.000133117107843361,2.26449505000836e-05,0.00307376520432801,0.0878314507799032,"positive","positive","none","positive","positive","positive","positive","positive","positive","positive","none"
"4881",10,0.280672268907563,0.351260504201681,0.121008403361345,0.116806722689076,0.135294117647059,0.278991596638655,0.353781512605042,0.116806722689076,0.176470588235294,0.136974789915966,-0.0563025210084034,3.58239528219784e-06,4.29871072071819e-09,0.0347308765957879,0.0405870333171561,0.0186893436953453,2.10121130250762e-06,1.43528988694186e-09,0.00215365269789469,0.0035312418592619,0.0229459737276227,0.357502553590208,"positive","positive","positive","positive","positive","positive","positive","positive","positive","positive","none"
"5106",11,-0.219512195121951,-0.170731707317073,0.0975609756097561,-0.219512195121951,0.24390243902439,0.195121951219512,-0.24390243902439,-0.195121951219512,-0.0731707317073171,-0.414634146341463,0.170731707317073,0.364003255503179,0.476422052701023,0.709102298075506,0.188445417242706,0.291067116544764,0.411552300347669,0.26793808403418,0.384039233624501,0.820469742882417,0.06586166593714,0.49598379414364,"none","none","none","none","none","none","none","none","none","none","none"
"5140",13,-0.101123595505618,0.0814606741573034,-0.0973782771535581,-0.0290262172284644,0.116104868913858,-0.0215355805243446,-0.147003745318352,-0.0655430711610487,-0.0102996254681648,-0.151685393258427,-0.178838951310861,0.0730284589920305,0.143091931101523,0.0537973413363106,0.580176740156991,0.026261207707313,0.703348887122436,0.00649265595642912,0.204404325095178,0.864468393920979,0.00428288314199476,0.00138210118386861,"none","none","none","none","positive","none","negative","none","none","negative","negative"
"5366",14,0.164835164835165,0.285714285714286,0.197802197802198,0.10989010989011,0.0659340659340659,0.0989010989010989,0,0.142857142857143,0.340659340659341,0.516483516483517,-0.516483516483517,0.443421402864083,0.167465343189303,0.333235054346237,0.591998497377718,0.758877954936441,0.655558596189995,1,0.494824145082923,0.0981369530905674,0.0112106854207035,0.0115419967250627,"none","none","none","none","none","none","none","none","none","positive","negative"
"5382",15,0.142979819665092,0.22026620867325,0.0270502361528553,0.118935165306999,0.151996565049377,0.155002146844139,0.127093173035638,0.0802919708029197,0.0244740231859167,0.0253327608415629,-0.038643194504079,4.46890502405761e-05,1.37854838655471e-10,0.402078809210512,0.000245220305640004,3.32629007337992e-06,4.48702810040835e-06,0.000126589452902337,0.0092254335919999,0.487677489942583,0.469595070320419,0.266495307580327,"positive","positive","none","positive","positive","positive","positive","positive","none","none","none"
"6129",17,0,0.388888888888889,0.388888888888889,0.111111111111111,0.333333333333333,0.222222222222222,0,0.222222222222222,0,-0.555555555555556,0.333333333333333,1,0.230139340443416,0.21090292605661,0.838256486385826,0.307434165927395,0.556298461274735,1,0.516002935443586,1,0.0775561667436655,0.307434165927395,"none","none","none","none","none","none","none","none","none","none","none"
"6153",18,0.212121212121212,0.121212121212121,0.0505050505050505,0.269360269360269,0.0740740740740741,0.178451178451178,0.168350168350168,0.171717171717172,0.0774410774410774,0.104377104377104,-0.292929292929293,0.0266474903197973,0.204431445480085,0.561587648335569,0.00313944265413024,0.409395486209919,0.057539022946095,0.0627570869328875,0.0394895295297117,0.420024632711394,0.282230691223038,0.00171618470756441,"positive","none","none","positive","none","none","none","positive","none","none","negative"
"6360",19,0.181818181818182,0.0909090909090909,-0.0909090909090909,0.272727272727273,0.0454545454545455,0.136363636363636,-0.409090909090909,0.181818181818182,-0.0909090909090909,0.181818181818182,0.181818181818182,0.606905427217951,0.859683795198666,0.825893995229781,0.238592829316435,1,0.719437544423391,0.100082684966725,0.516002935443586,0.863831742854726,0.606905427217951,0.50931029171949,"none","none","none","none","none","none","none","none","none","none","none"
"6415",20,0.132075471698113,0.0377358490566038,-0.10377358490566,0.113207547169811,0.113207547169811,0.0377358490566038,0.10377358490566,-0.0188679245283019,0.160377358490566,0.30188679245283,0.0283018867924528,0.41344744772765,0.833096553023686,0.377379559170244,0.44852875151746,0.472713922735059,0.846450596876591,0.495909813061856,0.927264473525232,0.31124927879383,0.0493146165909684,0.893615955447749,"none","none","none","none","none","none","none","none","none","positive","none"
"6501",24,-0.142857142857143,-0.153846153846154,-0.0879120879120879,-0.230769230769231,-0.0549450549450549,-0.285714285714286,-0.120879120879121,-0.175824175824176,-0.241758241758242,-0.21978021978022,0.032967032967033,0.511220344688192,0.471522897057111,0.689676301388142,0.2572636553313,0.805420172262519,0.163560670689335,0.571093904872995,0.38382124824532,0.248153483379223,0.295600011903712,0.912814027184075,"none","none","none","none","none","none","none","none","none","none","none"
"6523",26,-0.163636363636364,0.0363636363636364,0,0.0363636363636364,-0.236363636363636,0,-0.0545454545454545,0,0.0727272727272727,-0.181818181818182,-0.0909090909090909,0.533416513472694,0.874367061162892,1,0.874367061162892,0.331975467082737,1,0.814921091146469,1,0.635256295997248,0.478593692972351,0.752079265176,"none","none","none","none","none","none","none","none","none","none","none"
"6549",29,0.164835164835165,0.252747252747253,0,-0.021978021978022,0.175824175824176,0.0989010989010989,0.0549450549450549,0,0.164835164835165,0.131868131868132,0,0.443421402864083,0.126848239222531,1,0.948603752073481,0.24809625981919,0.321061992253906,0.805420172262519,1,0.392742294828425,0.545232585815683,1,"none","none","none","none","none","none","none","none","none","none","none"
"6563",39,0.0555555555555556,0.416666666666667,0,-0.222222222222222,0.472222222222222,0.388888888888889,0.0555555555555556,-0.333333333333333,0.0277777777777778,-0.194444444444444,-0.222222222222222,0.916965236628865,0.137809707980861,1,0.437641335048246,0.0778458495971648,0.170586932871441,0.910231214125804,0.222572896466565,1,0.529368106184798,0.446806563079803,"none","none","none","none","none","none","none","none","none","none","none"
"6576",47,0.0545454545454545,0,0,-0.0727272727272727,0.0363636363636364,0.163636363636364,0.272727272727273,0,0.127272727272727,-0.0363636363636364,0.181818181818182,0.876269663627762,1,1,0.790882322940624,0.935069122860666,0.464587892587378,0.195561658399604,1,0.63131837576298,0.937758942818078,0.478593692972351,"none","none","none","none","none","none","none","none","none","none","none"
